dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,11.000000,0.000030,0.005970,0.597015,59.701493,0.000000
0.010000,0.000099,11.000000,0.000129,0.009925,0.395522,-20.149254,0.000000
0.010000,0.000368,11.000000,0.000398,0.026866,1.694030,129.850746,0.000000
0.010000,0.000846,11.000000,0.000875,0.047761,2.089552,39.552239,0.000000
0.010000,0.001592,11.000000,0.001622,0.074627,2.686567,59.701493,0.000000
0.010000,0.002637,11.000000,0.002666,0.104478,2.985075,29.850746,0.000000
0.010000,0.003980,11.000000,0.004010,0.134328,2.985075,0.000000,0.000000
0.010000,0.005622,11.000000,0.005651,0.164179,2.985075,-0.000000,0.000000
0.010000,0.007562,11.000000,0.007592,0.194030,2.985075,0.000000,0.000000
0.010000,0.009801,11.000000,0.009831,0.223881,2.985075,-0.000000,0.000000
0.010000,0.012338,11.000000,0.012368,0.253731,2.985075,-0.000000,0.000000
0.010000,0.015174,11.000000,0.015204,0.283582,2.985075,0.000000,0.000000
0.010000,0.018308,11.000000,0.018338,0.313433,2.985075,-0.000000,0.000000
0.010000,0.021741,11.000000,0.021771,0.343284,2.985075,0.000000,0.000000
0.010000,0.025472,11.000000,0.025502,0.373134,2.985075,-0.000000,0.000000
0.010000,0.029502,11.000000,0.029532,0.402985,2.985075,-0.000000,0.000000
0.010000,0.033831,11.000000,0.033860,0.432836,2.985075,-0.000000,0.000000
0.010000,0.038457,11.000000,0.038487,0.462687,2.985075,0.000000,0.000000
0.010000,0.043383,11.000000,0.043413,0.492537,2.985075,-0.000000,0.000000
0.010000,0.048607,11.000000,0.048637,0.522388,2.985075,0.000000,0.000000
0.010000,0.054129,11.000000,0.054159,0.552239,2.985075,-0.000000,0.000000
0.010000,0.059950,11.000000,0.059980,0.582090,2.985075,0.000000,0.000000
0.010000,0.066069,11.000000,0.066099,0.611940,2.985075,0.000000,0.000000
0.010000,0.072487,11.000000,0.072517,0.641791,2.985075,-0.000000,0.000000
0.010000,0.079204,11.000000,0.079234,0.671642,2.985075,0.000000,0.000000
0.010000,0.086219,11.000000,0.086249,0.701493,2.985075,0.000000,0.000000
0.010000,0.093532,11.000000,0.093562,0.731343,2.985075,-0.000000,0.000000
0.010000,0.101144,11.000000,0.101174,0.761194,2.985075,0.000000,0.000000
0.010000,0.109054,11.000000,0.109084,0.791045,2.985075,-0.000000,0.000000
0.010000,0.117263,11.000000,0.117293,0.820896,2.985075,0.000000,0.000000
0.010000,0.125771,11.000000,0.125801,0.850746,2.985075,-0.000000,0.000000
0.010000,0.134577,11.000000,0.134607,0.880597,2.985075,0.000000,0.000000
0.010000,0.143681,11.000000,0.143711,0.910448,2.985075,0.000000,0.000000
0.010000,0.153084,11.000000,0.153114,0.940299,2.985075,0.000000,0.000000
0.010000,0.162786,11.000000,0.162816,0.970149,2.985075,-0.000000,0.000000
0.010000,0.172786,11.000000,0.172816,1.000000,2.985075,0.000000,0.000000
0.010000,0.183084,11.000000,0.183114,1.029851,2.985075,0.000000,0.000000
0.010000,0.193681,11.000000,0.193711,1.059701,2.985075,0.000000,0.000000
0.010000,0.204577,11.000000,0.204607,1.089552,2.985075,0.000000,0.000000
0.010000,0.215771,11.000000,0.215801,1.119403,2.985075,-0.000000,0.000000
0.010000,0.227263,11.000000,0.227293,1.149254,2.985075,0.000000,0.000000
0.010000,0.239054,11.000000,0.239084,1.179104,2.985075,-0.000000,0.000000
0.010000,0.251144,11.000000,0.251174,1.208955,2.985075,-0.000000,0.000000
0.010000,0.263532,11.000000,0.263562,1.238806,2.985075,0.000000,0.000000
0.010000,0.276219,11.000000,0.276249,1.268657,2.985075,0.000000,0.000000
0.010000,0.289204,11.000000,0.289234,1.298507,2.985075,-0.000000,0.000000
0.010000,0.302487,11.000000,0.302517,1.328358,2.985075,0.000000,0.000000
0.010000,0.316069,11.000000,0.316099,1.358209,2.985075,0.000000,0.000000
0.010000,0.329950,11.000000,0.329980,1.388060,2.985075,0.000000,0.000000
0.010000,0.344129,11.000000,0.344159,1.417910,2.985075,-0.000000,0.000000
0.010000,0.358607,11.000000,0.358637,1.447761,2.985075,-0.000000,0.000000
0.010000,0.373383,11.000000,0.373413,1.477612,2.985075,0.000000,0.000000
0.010000,0.388457,11.000000,0.388487,1.507463,2.985075,0.000000,0.000000
0.010000,0.403831,11.000000,0.403860,1.537313,2.985075,-0.000000,0.000000
0.010000,0.419502,11.000000,0.419532,1.567164,2.985075,0.000000,0.000000
0.010000,0.435472,11.000000,0.435502,1.597015,2.985075,-0.000000,0.000000
0.010000,0.451741,11.000000,0.451771,1.626866,2.985075,0.000000,0.000000
0.010000,0.468308,11.000000,0.468338,1.656716,2.985075,-0.000000,0.000000
0.010000,0.485174,11.000000,0.485204,1.686567,2.985075,-0.000000,0.000000
0.010000,0.502338,11.000000,0.502368,1.716418,2.985075,0.000000,0.000000
0.010000,0.519801,11.000000,0.519831,1.746269,2.985075,0.000000,0.000000
0.010000,0.537562,11.000000,0.537592,1.776119,2.985075,-0.000000,0.000000
0.010000,0.555622,11.000000,0.555651,1.805970,2.985075,0.000000,0.000000
0.010000,0.573980,11.000000,0.574010,1.835821,2.985075,0.000000,0.000000
0.010000,0.592637,11.000000,0.592666,1.865672,2.985075,0.000000,0.000000
0.010000,0.611592,11.000000,0.611622,1.895522,2.985075,0.000000,0.000000
0.010000,0.630846,11.000000,0.630875,1.925373,2.985075,-0.000000,0.000000
0.010000,0.650398,11.000000,0.650428,1.955224,2.985075,-0.000000,0.000000
0.010000,0.670249,11.000000,0.670278,1.985075,2.985075,0.000000,0.000000
0.010000,0.690398,11.000000,0.690428,2.014925,2.985075,0.000000,0.000000
0.010000,0.710846,11.000000,0.710875,2.044776,2.985075,-0.000000,0.000000
0.010000,0.731592,11.000000,0.731622,2.074627,2.985075,0.000000,0.000000
0.010000,0.752637,11.000000,0.752666,2.104478,2.985075,-0.000000,0.000000
0.010000,0.773980,11.000000,0.774010,2.134328,2.985075,0.000000,0.000000
0.010000,0.795622,11.000000,0.795651,2.164179,2.985075,-0.000000,0.000000
0.010000,0.817562,11.000000,0.817592,2.194030,2.985075,0.000000,0.000000
0.010000,0.839801,11.000000,0.839831,2.223881,2.985075,0.000000,0.000000
0.010000,0.862338,11.000000,0.862368,2.253731,2.985075,-0.000000,0.000000
0.010000,0.885174,11.000000,0.885204,2.283582,2.985075,0.000000,0.000000
0.010000,0.908308,11.000000,0.908338,2.313433,2.985075,0.000000,0.000000
0.010000,0.931741,11.000000,0.931771,2.343284,2.985075,0.000000,0.000000
0.010000,0.955472,11.000000,0.955502,2.373134,2.985075,0.000000,0.000000
0.010000,0.979502,11.000000,0.979532,2.402985,2.985075,-0.000000,0.000000
0.010000,1.003831,11.000000,1.003860,2.432836,2.985075,0.000000,0.000000
0.010000,1.028457,11.000000,1.028487,2.462687,2.985075,-0.000000,0.000000
0.010000,1.053383,11.000000,1.053413,2.492537,2.985075,0.000000,0.000000
0.010000,1.078607,11.000000,1.078637,2.522388,2.985075,-0.000000,0.000000
0.010000,1.104129,11.000000,1.104159,2.552239,2.985075,0.000000,0.000000
